"name","weight","rank"
"Mehdy",7.05709943029109e-06,0
"Ely",7.03127134057786e-06,0
"Roy",7.01578964569193e-06,0
"Hamed",7.01578964569193e-06,0
"Teo",6.984860402551e-06,0
"Stefan",6.9424071383693e-06,0
"Marlon",6.90773687558091e-06,376
"Clotaire",6.87696747461801e-06,0
"Jesus",6.87184369419002e-06,0
"Aly",6.84624389559024e-06,0
"Murat",6.79003657113737e-06,0
"Luke",6.73143974779513e-06,0
"Cem",6.63246764477633e-06,0
"Ricardo",6.62032027002575e-06,0
"Efe",6.60211313128237e-06,0
"Wilson",6.59832208159503e-06,0
